Date,RSI,MACD,Volatility,Daily_Return
2023-01-05,68.333,9.7069,0.393287,0.009923
2023-01-06,70.498,10.0788,0.393687,0.017730
2023-01-09,62.761,9.7241,0.411656,-0.029166
2023-01-10,52.596,8.4669,0.461009,-0.049122
2023-01-11,46.140,6.6886,0.487429,-0.041440
2023-01-12,45.990,5.2020,0.485745,-0.001064
2023-01-13,45.725,3.9495,0.480615,-0.001771
2023-01-16,47.222,3.0532,0.475349,0.008095
2023-01-17,44.516,2.0500,0.469392,-0.016433
2023-01-18,40.556,0.8195,0.475126,-0.026434
2023-01-19,35.105,-0.8367,0.499101,-0.044007
2023-01-20,36.647,-2.0099,0.414286,0.007742
2023-01-23,38.420,-2.7770,0.416863,0.008641
2023-01-24,42.907,-3.0095,0.422751,0.022346
2023-01-25,46.354,-2.8815,0.428250,0.017897
2023-01-26,45.729,-2.8064,0.428243,-0.003696
2023-01-27,51.464,-2.2438,0.397447,0.030184
2023-01-30,50.969,-1.8177,0.370928,-0.002500
2023-01-31,48.175,-1.6887,0.361520,-0.014038
2023-02-01,46.082,-1.7417,0.361889,-0.010953
2023-02-02,43.794,-1.9571,0.357583,-0.012366
2023-02-03,36.454,-2.8329,0.371899,-0.047146
2023-02-06,37.354,-3.4287,0.368126,0.003939
2023-02-07,38.781,-3.7676,0.338465,0.005998
2023-02-08,37.625,-4.1014,0.311494,-0.007470
2023-02-09,35.332,-4.5409,0.313671,-0.015205
2023-02-10,37.633,-4.7071,0.317210,0.008680
2023-02-13,46.715,-4.2221,0.349351,0.038271
2023-02-14,47.017,-3.7735,0.345850,0.001341
2023-02-15,44.835,-3.5418,0.335410,-0.010668
2023-02-16,42.378,-3.5088,0.298655,-0.012512
2023-02-17,42.174,-3.4584,0.297425,-0.001034
2023-02-20,37.116,-3.7863,0.310649,-0.027325
2023-02-21,36.735,-4.0328,0.297259,-0.002256
2023-02-22,37.301,-4.1533,0.287564,0.001846
2023-02-23,48.387,-3.6056,0.328840,0.041083
2023-02-24,53.189,-2.8149,0.318765,0.021256
2023-02-27,57.900,-1.8055,0.331149,0.023248
2023-02-28,53.989,-1.2333,0.331783,-0.015184
2023-03-01,57.075,-0.5345,0.334193,0.015238
2023-03-02,51.041,-0.3678,0.343104,-0.024567
2023-03-03,52.618,-0.1199,0.295239,0.007363
2023-03-06,54.706,0.2259,0.296296,0.009712
2023-03-07,50.620,0.2387,0.303722,-0.016361
2023-03-08,59.362,0.9297,0.336930,0.044486
2023-03-09,61.594,1.6690,0.329994,0.012982
2023-03-10,51.722,1.5565,0.369591,-0.041360
2023-03-13,54.050,1.6481,0.347979,0.012663
2023-03-14,52.215,1.5674,0.349959,-0.008463
2023-03-15,52.323,1.4947,0.347037,0.000530
2023-03-16,54.571,1.5889,0.343884,0.010747
2023-03-17,56.462,1.7886,0.344097,0.009092
2023-03-20,46.254,1.2161,0.368912,-0.044361
2023-03-21,41.868,0.3723,0.381711,-0.024983
2023-03-22,45.658,-0.0326,0.385786,0.017498
2023-03-23,51.434,0.0916,0.372028,0.029126
2023-03-24,58.538,0.8482,0.393502,0.042370
2023-03-27,64.124,2.0839,0.409323,0.040170
2023-03-28,54.900,2.2726,0.439818,-0.044722
2023-03-29,57.359,2.6759,0.440737,0.017429
2023-03-30,50.192,2.2771,0.458461,-0.041659
2023-03-31,55.186,2.5054,0.474223,0.035999
2023-04-03,56.016,2.7547,0.473720,0.006074
2023-04-04,51.804,2.5150,0.479032,-0.024606
2023-04-05,57.854,3.0141,0.479302,0.044718
2023-04-06,59.720,3.6160,0.479830,0.014667
2023-04-07,52.590,3.3491,0.479522,-0.041105
2023-04-10,53.559,3.2149,0.478353,0.006956
2023-04-11,51.025,2.8179,0.481133,-0.015585
2023-04-12,51.486,2.5224,0.481117,0.002949
2023-04-13,49.816,2.1046,0.481693,-0.009734
2023-04-14,54.754,2.2452,0.492498,0.030717
2023-04-17,49.347,1.8212,0.477672,-0.030812
2023-04-18,50.584,1.5880,0.466420,0.007483
2023-04-19,56.769,2.0384,0.481795,0.040412
2023-04-20,53.485,2.0714,0.480058,-0.017693
2023-04-21,54.297,2.1583,0.457426,0.005134
2023-04-24,55.113,2.2835,0.434270,0.004944
2023-04-25,52.123,2.1116,0.405778,-0.014673
2023-04-26,54.743,2.1946,0.404458,0.014753
2023-04-27,55.221,2.2785,0.371816,0.002635
2023-04-28,50.767,1.9803,0.359338,-0.020263
2023-05-01,57.737,2.3657,0.384766,0.039264
2023-05-02,60.586,2.9449,0.375243,0.017915
2023-05-03,59.803,3.3103,0.343729,-0.003176
2023-05-04,56.469,3.3261,0.344223,-0.013507
2023-05-05,52.603,3.0157,0.314955,-0.016756
2023-05-08,57.655,3.1991,0.327895,0.027581
2023-05-09,56.992,3.2596,0.321562,-0.002723
2023-05-10,58.968,3.4516,0.322623,0.010608
2023-05-11,57.995,3.5011,0.319970,-0.003558
2023-05-12,60.741,3.7424,0.306650,0.014061
2023-05-15,60.115,3.8530,0.280354,-0.002051
2023-05-16,63.524,4.1978,0.283877,0.017305
2023-05-17,62.334,4.3574,0.252291,-0.003531
2023-05-18,65.970,4.7646,0.246093,0.018751
2023-05-19,68.675,5.3050,0.248990,0.015292
2023-05-22,67.879,5.6301,0.250304,-0.002065
2023-05-23,61.086,5.4843,0.254482,-0.018415
2023-05-24,54.739,4.9458,0.265962,-0.020183
2023-05-25,50.414,4.1900,0.274091,-0.015796
2023-05-26,45.328,3.1843,0.275070,-0.021158
2023-05-29,50.219,2.6909,0.247014,0.019547
2023-05-30,50.086,2.2646,0.238706,-0.000525
2023-05-31,58.021,2.5091,0.268664,0.035042
2023-06-01,66.579,3.5760,0.312768,0.050645
2023-06-02,66.736,4.3905,0.302484,0.001033
2023-06-05,57.333,4.3487,0.321841,-0.033556
2023-06-06,55.422,4.1232,0.323565,-0.007892
2023-06-07,55.134,3.8787,0.322434,-0.001158
2023-06-08,47.705,3.0632,0.344428,-0.032246
2023-06-09,46.686,2.3022,0.341221,-0.005011
2023-06-12,48.295,1.7977,0.342067,0.006813
2023-06-13,46.165,1.2145,0.337469,-0.009608
2023-06-14,42.732,0.4605,0.341715,-0.016405
2023-06-15,39.650,-0.4103,0.336250,-0.016193
2023-06-16,49.195,-0.4231,0.364577,0.039807
2023-06-19,48.544,-0.4805,0.364582,-0.003012
2023-06-20,44.795,-0.8276,0.364207,-0.017758
2023-06-21,43.261,-1.2211,0.358770,-0.007704
2023-06-22,48.516,-1.1527,0.363800,0.021496
2023-06-23,45.383,-1.3370,0.359414,-0.014563
2023-06-26,48.094,-1.2776,0.354676,0.011100
2023-06-27,51.957,-0.9328,0.359457,0.016514
2023-06-28,55.671,-0.3556,0.341974,0.016980
2023-06-29,61.654,0.6564,0.309271,0.031293
2023-06-30,58.406,1.2292,0.311415,-0.011611
2023-07-03,62.954,2.1241,0.301443,0.025420
2023-07-04,58.264,2.4865,0.306774,-0.016943
2023-07-05,56.116,2.5921,0.308411,-0.008224
2023-07-06,61.109,3.1305,0.296235,0.026814
2023-07-07,64.230,3.8621,0.299117,0.018593
2023-07-10,64.322,4.4017,0.299340,0.000546
2023-07-11,56.881,4.2873,0.314363,-0.025711
2023-07-12,59.349,4.3861,0.306831,0.012856
2023-07-13,55.732,4.1637,0.304399,-0.013368
2023-07-14,50.849,3.5764,0.287413,-0.019826
