Company,Sector
TSCO,Consumer Discretionary
TSLA,Consumer Discretionary
TSM,Technology
TT,Industrials
TTD,Technology
TTE,Energy
TTWO,Communication Services
TU,Communication Services
TW,Financials
TXN,Technology
UBER,Technology
UBS,Financials
UL,Consumer Staples
ULTA,Consumer Discretionary
UMC,Technology
UNH,Healthcare
UNP,Industrials
UPS,Industrials
URI,Industrials
USB,Financials
V,Financials
VALE,Materials
VEEV,Healthcare
VICI,Real Estate
VLO,Energy
VMC,Materials
VOD,Communication Services
VRSK,Industrials
VRSN,Technology
VRTX,Healthcare
VZ,Communication Services
WAB,Industrials
WBD,Communication Services
WCN,Industrials
WDAY,Technology
WDS,Energy
WEC,Utilities
WELL,Real Estate
WFC,Financials
WIT,Technology
WM,Industrials
WMB,Energy
WMT,Consumer Staples
WPM,Materials
WST,Healthcare
WTW,Financials
WY,Real Estate
XEL,Utilities
XOM,Energy
XYL,Industrials
YUM,Consumer Discretionary
ZBH,Healthcare
ZM,Communication Services
ZS,Technology
ZTS,Healthcare
